205016	205073	205130	205187	205244	205300	205357	205414	205471	205528	205585	205642	205699	205756	205812	205869	205926	205983	206040	206097	206154	206211	206268	206324	206381	206438	206495	206552	206609	206666	206723	206780	206836	206893	206950	207007	207064	207121	207178	207235	207292	207348	207405	207462	207519	207576	207633	207690	207747	207804	207860	207917	207974	208031	208088	208145	208202	208259	208316	208372	208429	208486	208543	208600	208657	208714	208771	208828	208884	208941	208998	209055	209112	209169	209226	209283	209340	209396	209453	209510	209567	209624	209681	209738	209795	209852	209908	209965	210022	210079	210136	210193	210250	210307	210364	210420	210477	210534	210591	210648

-------------------------------------------------------------------
7.79047E+0	7.81468E+0	8.37658E+0	8.72423E+0	8.71937E+0	9.13643E+0	9.73643E+0	9.38129E+0	9.62331E+0	9.52503E+0	9.65402E+0	9.20305E+0	9.08058E+0	9.41866E+0	9.31730E+0	9.44726E+0	9.32763E+0	9.13202E+0	9.18524E+0	9.00809E+0	9.24746E+0	9.15143E+0	9.03577E+0	8.94034E+0	8.96246E+0	8.92863E+0	8.94631E+0	9.10792E+0	9.10010E+0	8.98496E+0	8.67685E+0	8.77901E+0	8.79150E+0	8.98102E+0	9.05428E+0	9.18440E+0	9.35802E+0	9.13544E+0	9.23935E+0	9.28315E+0	9.41856E+0	9.45799E+0	9.39029E+0	9.60193E+0	9.63146E+0	9.69637E+0	9.71279E+0	9.81053E+0	8.93117E+0	8.27255E+0	7.76278E+0	7.54277E+0	7.29633E+0	7.12627E+0	7.24558E+0	7.39624E+0	7.78159E+0	7.94487E+0	7.94712E+0	7.74474E+0	7.42002E+0	6.79548E+0	6.35209E+0	5.52006E+0	4.10030E+0	2.18258E+0	1.81778E+0	1.67377E+0	1.65582E+0	1.63095E+0	1.64643E+0	1.61221E+0	1.61182E+0	1.57227E+0	1.75645E+0	1.57700E+0	1.60536E+0	1.65190E+0	1.74002E+0	1.61362E+0	1.37759E+0	1.40838E+0	1.63142E+0	1.79891E+0	2.00312E+0	1.67530E+0	1.76763E+0	1.60981E+0	1.79728E+0	1.20109E+0	1.40937E+0	1.36929E+0	1.30908E+0	1.48395E+0	1.27391E+0	1.13743E+0	1.28225E+0	1.24436E+0	1.13972E+0	1.44685E+0
7.42483E+0	8.05301E+0	8.38662E+0	8.66074E+0	9.04370E+0	9.25229E+0	9.98203E+0	9.29278E+0	9.93794E+0	9.70342E+0	9.68559E+0	9.49697E+0	9.62368E+0	9.64300E+0	9.32852E+0	9.41215E+0	9.21091E+0	9.20809E+0	9.11286E+0	8.98764E+0	8.95572E+0	8.82404E+0	9.06501E+0	9.09294E+0	9.07215E+0	8.95130E+0	9.18265E+0	9.32895E+0	9.18962E+0	8.94517E+0	9.29712E+0	8.94819E+0	8.88367E+0	9.12108E+0	9.07617E+0	9.21031E+0	9.07298E+0	8.98963E+0	9.37233E+0	9.32769E+0	9.38816E+0	9.33749E+0	9.50152E+0	9.54189E+0	9.66201E+0	9.79016E+0	9.67449E+0	9.76137E+0	8.99561E+0	8.29840E+0	7.86615E+0	7.59866E+0	7.46890E+0	7.29600E+0	7.38895E+0	7.49164E+0	7.78627E+0	7.91146E+0	7.98190E+0	7.81871E+0	7.47234E+0	7.01777E+0	6.40458E+0	5.59209E+0	3.96235E+0	2.33746E+0	1.83121E+0	1.69943E+0	1.59147E+0	1.51101E+0	1.71440E+0	1.68159E+0	1.60404E+0	1.60577E+0	1.61811E+0	1.51981E+0	1.75817E+0	1.50784E+0	1.69595E+0	1.90358E+0	1.77837E+0	2.07892E+0	1.77421E+0	1.73681E+0	1.50175E+0	1.66072E+0	1.66233E+0	1.58548E+0	1.59636E+0	1.44533E+0	1.32633E+0	1.51417E+0	1.60409E+0	1.53210E+0	1.35666E+0	1.46062E+0	1.28489E+0	1.19228E+0	1.48865E+0	1.09342E+0
7.43623E+0	7.73267E+0	8.07493E+0	8.15930E+0	9.02170E+0	9.05567E+0	9.30929E+0	9.09277E+0	9.50024E+0	9.59153E+0	9.49823E+0	9.55757E+0	9.51098E+0	9.51217E+0	9.47391E+0	9.24752E+0	9.02625E+0	9.01501E+0	9.21527E+0	9.23971E+0	9.09071E+0	9.10613E+0	9.18448E+0	9.16861E+0	9.13062E+0	8.91961E+0	9.14055E+0	9.22778E+0	9.20508E+0	9.05986E+0	8.91595E+0	8.98822E+0	8.95769E+0	9.04648E+0	9.07095E+0	9.01661E+0	9.21228E+0	9.10832E+0	9.22262E+0	9.26204E+0	9.28429E+0	9.44594E+0	9.48931E+0	9.59054E+0	9.51030E+0	9.72813E+0	9.84190E+0	9.75994E+0	8.91855E+0	8.21158E+0	7.76602E+0	7.59353E+0	7.35121E+0	7.21290E+0	7.25862E+0	7.45707E+0	7.67470E+0	7.91217E+0	8.00856E+0	7.80574E+0	7.31918E+0	6.88344E+0	6.41104E+0	5.68308E+0	3.88955E+0	2.24590E+0	1.69901E+0	1.54847E+0	1.48962E+0	1.51920E+0	1.52605E+0	1.77905E+0	1.64836E+0	1.59249E+0	1.68556E+0	1.71359E+0	1.75512E+0	1.64181E+0	1.71689E+0	1.73421E+0	1.71116E+0	1.53578E+0	1.69295E+0	1.78310E+0	1.54105E+0	1.64332E+0	1.76579E+0	1.81487E+0	1.72372E+0	1.57331E+0	1.70639E+0	1.64967E+0	1.35769E+0	1.32438E+0	1.63164E+0	1.49540E+0	1.28719E+0	1.22010E+0	1.25799E+0	8.46880E-1
7.54188E+0	7.65752E+0	7.78286E+0	7.99464E+0	8.87886E+0	9.12017E+0	9.32049E+0	9.25320E+0	9.56177E+0	1.00505E+1	9.70487E+0	9.44208E+0	9.50610E+0	9.33852E+0	9.73970E+0	9.64924E+0	9.27338E+0	9.22090E+0	9.14249E+0	9.41476E+0	9.04599E+0	9.03013E+0	9.44722E+0	9.03655E+0	9.03321E+0	9.02638E+0	9.27096E+0	9.27236E+0	9.05783E+0	8.94497E+0	9.09042E+0	9.00224E+0	9.10745E+0	9.07970E+0	9.23319E+0	9.28672E+0	9.16958E+0	9.36984E+0	9.28836E+0	9.37804E+0	9.39984E+0	9.55675E+0	9.53714E+0	9.65014E+0	9.76277E+0	9.70245E+0	9.78055E+0	9.81745E+0	8.93691E+0	8.29213E+0	7.76296E+0	7.52927E+0	7.34318E+0	7.20815E+0	7.20889E+0	7.48458E+0	7.76148E+0	7.93352E+0	7.75052E+0	7.71144E+0	7.19990E+0	6.77812E+0	6.28673E+0	5.32795E+0	3.40317E+0	1.70154E+0	1.60782E+0	1.55137E+0	1.34714E+0	1.45216E+0	1.50854E+0	1.64279E+0	1.39319E+0	1.43390E+0	1.46343E+0	1.41548E+0	1.51043E+0	1.59810E+0	1.65000E+0	1.48420E+0	1.42473E+0	1.64726E+0	1.38335E+0	1.69801E+0	1.85586E+0	1.62289E+0	1.43798E+0	1.75025E+0	1.94696E+0	1.63544E+0	1.60964E+0	1.51804E+0	1.60348E+0	1.43608E+0	1.35316E+0	1.53435E+0	1.37711E+0	1.49352E+0	1.52808E+0	9.55343E-1
8.43793E+0	8.16131E+0	8.60953E+0	8.62724E+0	8.50028E+0	9.24763E+0	9.27303E+0	9.06362E+0	9.69393E+0	9.65184E+0	9.59655E+0	9.39420E+0	9.49800E+0	9.35131E+0	9.27623E+0	9.57986E+0	9.33700E+0	9.05403E+0	9.11478E+0	9.09322E+0	9.17397E+0	9.15360E+0	9.44442E+0	9.03424E+0	8.95113E+0	8.97736E+0	9.14699E+0	9.13260E+0	8.97432E+0	8.95660E+0	8.92565E+0	8.93590E+0	9.16906E+0	8.85738E+0	8.88269E+0	8.94972E+0	9.16392E+0	9.15641E+0	9.06662E+0	9.15889E+0	9.14643E+0	9.38086E+0	9.22372E+0	9.40490E+0	9.42580E+0	9.40931E+0	9.52048E+0	9.50459E+0	8.58683E+0	7.95660E+0	7.40878E+0	7.28873E+0	7.02755E+0	6.99304E+0	7.06569E+0	7.30561E+0	7.50220E+0	7.84441E+0	7.78636E+0	7.56576E+0	7.23053E+0	6.82679E+0	6.18996E+0	5.50406E+0	3.47305E+0	2.03459E+0	1.80158E+0	1.71985E+0	1.68818E+0	1.63072E+0	1.70393E+0	1.72542E+0	1.56840E+0	1.60490E+0	1.54750E+0	1.49241E+0	1.72966E+0	1.80284E+0	1.80734E+0	1.70697E+0	1.84055E+0	1.79716E+0	1.71524E+0	1.77687E+0	1.65995E+0	1.93764E+0	1.86748E+0	1.99587E+0	1.50100E+0	1.53818E+0	1.51071E+0	1.69904E+0	1.49842E+0	1.41819E+0	1.72043E+0	1.73504E+0	6.63639E-1	1.25319E+0	1.36146E+0	1.64983E+0
8.78559E+0	8.79020E+0	8.63182E+0	8.10970E+0	8.25065E+0	8.66678E+0	8.81480E+0	9.30235E+0	9.45772E+0	9.65174E+0	9.64074E+0	9.66967E+0	9.58850E+0	9.44305E+0	8.92821E+0	9.01173E+0	9.03269E+0	8.94861E+0	9.05005E+0	9.09798E+0	9.28421E+0	9.09853E+0	9.18146E+0	9.24918E+0	9.08890E+0	9.14091E+0	9.05567E+0	9.09517E+0	9.17876E+0	8.97202E+0	8.95761E+0	8.90667E+0	8.91790E+0	8.98301E+0	8.98321E+0	9.17502E+0	9.30454E+0	9.24939E+0	9.24122E+0	9.31876E+0	9.29233E+0	9.43366E+0	9.58856E+0	9.57019E+0	9.59672E+0	9.59541E+0	9.74373E+0	9.60055E+0	8.63908E+0	8.08318E+0	7.59618E+0	7.41389E+0	7.14211E+0	7.06096E+0	7.12226E+0	7.37148E+0	7.63592E+0	7.83316E+0	7.88511E+0	7.69012E+0	7.37275E+0	6.98031E+0	6.31940E+0	5.35929E+0	3.20907E+0	2.03527E+0	1.68863E+0	1.64513E+0	1.68587E+0	1.57158E+0	1.81771E+0	1.77320E+0	1.48674E+0	1.64789E+0	1.63601E+0	1.55070E+0	1.42988E+0	1.68731E+0	1.98619E+0	1.78717E+0	1.63504E+0	1.96839E+0	1.93994E+0	1.92209E+0	1.89604E+0	1.75903E+0	1.93230E+0	1.60018E+0	1.59587E+0	1.65179E+0	1.34039E+0	1.69685E+0	1.55299E+0	1.58618E+0	1.24903E+0	1.31041E+0	1.46265E+0	1.34975E+0	1.51530E+0	1.19547E+0
9.14877E+0	8.95552E+0	8.84917E+0	8.37096E+0	8.37925E+0	9.29058E+0	9.15094E+0	9.24452E+0	9.69998E+0	9.61684E+0	9.42093E+0	9.46447E+0	9.43135E+0	9.33966E+0	9.27065E+0	9.12716E+0	9.21673E+0	9.20308E+0	8.88370E+0	8.96876E+0	9.24191E+0	9.17992E+0	9.30807E+0	9.35852E+0	9.22876E+0	9.18993E+0	9.28991E+0	9.07940E+0	8.72306E+0	9.03572E+0	8.95154E+0	9.01276E+0	9.01302E+0	9.06315E+0	8.97844E+0	9.09444E+0	9.05558E+0	9.10471E+0	9.20949E+0	9.13254E+0	9.22889E+0	9.34819E+0	9.33422E+0	9.51310E+0	9.45093E+0	9.54280E+0	9.61959E+0	9.56485E+0	8.58078E+0	7.97779E+0	7.41619E+0	7.32863E+0	7.10109E+0	6.99240E+0	7.13209E+0	7.36426E+0	7.51184E+0	7.89242E+0	7.84336E+0	7.59128E+0	7.27223E+0	6.80824E+0	6.25959E+0	5.34134E+0	3.11205E+0	1.92979E+0	1.89190E+0	1.75398E+0	1.86929E+0	1.69342E+0	1.65537E+0	1.92754E+0	1.93990E+0	1.79461E+0	1.78617E+0	1.75829E+0	1.95295E+0	1.77564E+0	1.61508E+0	1.59774E+0	2.00143E+0	1.75262E+0	1.83691E+0	1.70756E+0	1.63000E+0	1.71014E+0	1.68204E+0	1.51700E+0	1.77936E+0	1.72626E+0	1.40652E+0	1.64754E+0	1.28784E+0	1.70684E+0	1.65776E+0	1.40592E+0	1.46616E+0	1.83139E+0	1.58680E+0	1.59191E+0
9.58839E+0	8.89622E+0	8.79524E+0	8.46047E+0	8.51054E+0	8.93191E+0	8.92144E+0	9.35024E+0	9.60523E+0	9.61252E+0	9.55769E+0	9.30325E+0	9.37170E+0	9.26851E+0	9.56815E+0	9.84769E+0	9.28086E+0	9.43382E+0	9.03854E+0	8.97356E+0	9.17875E+0	9.06382E+0	9.13336E+0	9.34328E+0	9.06688E+0	8.82347E+0	8.92419E+0	8.90306E+0	8.59012E+0	8.87671E+0	8.73968E+0	9.00257E+0	9.24659E+0	9.03842E+0	8.94286E+0	9.13725E+0	9.08190E+0	9.09902E+0	9.18556E+0	9.12795E+0	9.13308E+0	9.31204E+0	9.31265E+0	9.33093E+0	9.42310E+0	9.48375E+0	9.55988E+0	9.34374E+0	8.33891E+0	7.77614E+0	7.37896E+0	7.19477E+0	6.92951E+0	6.88121E+0	7.03122E+0	7.26607E+0	7.52967E+0	7.71022E+0	7.58918E+0	7.36407E+0	6.98015E+0	6.64158E+0	6.07985E+0	5.20145E+0	2.63471E+0	1.81257E+0	1.77614E+0	1.75049E+0	1.54583E+0	1.67368E+0	1.72938E+0	1.65894E+0	1.71333E+0	1.62001E+0	1.66443E+0	1.84736E+0	1.57340E+0	1.63319E+0	1.50475E+0	1.49588E+0	1.46696E+0	1.85727E+0	1.69366E+0	1.57277E+0	1.66495E+0	1.74755E+0	1.94806E+0	1.71852E+0	1.50996E+0	1.61697E+0	1.62413E+0	1.21397E+0	1.53828E+0	1.36640E+0	1.51931E+0	9.49215E-1	1.44076E+0	1.18568E+0	1.11543E+0	1.05596E+0
9.23702E+0	8.88051E+0	9.12457E+0	8.35869E+0	8.07427E+0	9.02110E+0	8.97018E+0	9.07328E+0	9.68303E+0	9.74648E+0	9.41229E+0	9.41490E+0	9.41503E+0	9.59639E+0	9.43834E+0	9.21474E+0	8.99997E+0	9.14279E+0	9.09702E+0	9.11918E+0	9.34505E+0	8.98555E+0	9.20058E+0	8.88667E+0	8.99245E+0	9.21758E+0	9.02878E+0	9.24332E+0	9.15179E+0	9.18925E+0	9.19685E+0	9.06088E+0	8.97640E+0	9.13970E+0	9.27553E+0	9.11837E+0	9.15149E+0	9.31213E+0	9.34487E+0	9.31418E+0	9.26450E+0	9.25872E+0	9.39346E+0	9.46276E+0	9.46772E+0	9.65231E+0	9.54283E+0	9.38003E+0	8.42808E+0	7.79311E+0	7.32552E+0	7.22263E+0	7.01304E+0	6.80424E+0	6.93608E+0	7.25699E+0	7.55988E+0	7.66687E+0	7.77150E+0	7.48306E+0	6.90727E+0	6.50233E+0	5.88402E+0	4.99996E+0	2.61561E+0	1.86767E+0	1.68819E+0	1.49908E+0	1.62616E+0	1.49195E+0	1.58712E+0	1.46536E+0	1.64635E+0	1.81857E+0	1.46059E+0	1.72404E+0	1.70283E+0	1.90033E+0	1.68664E+0	1.79567E+0	1.69170E+0	1.90394E+0	1.61237E+0	1.74843E+0	1.68355E+0	1.52436E+0	1.59018E+0	1.55737E+0	1.44792E+0	1.62365E+0	1.57375E+0	1.68949E+0	1.79569E+0	1.50112E+0	1.15383E+0	1.36631E+0	1.53304E+0	1.62940E+0	1.58621E+0	1.38236E+0
9.73587E+0	8.90569E+0	8.75287E+0	8.36449E+0	8.34383E+0	9.31516E+0	8.64430E+0	9.21856E+0	9.44168E+0	9.51264E+0	9.52595E+0	9.57411E+0	9.54243E+0	9.24768E+0	9.30636E+0	9.39454E+0	9.28464E+0	9.23443E+0	9.24952E+0	9.22777E+0	9.01916E+0	9.23021E+0	9.31420E+0	9.17274E+0	8.94339E+0	9.03548E+0	8.85044E+0	8.95283E+0	8.92762E+0	8.82426E+0	8.82826E+0	8.76396E+0	8.93051E+0	8.98518E+0	9.11485E+0	9.12029E+0	9.11611E+0	9.21401E+0	9.20624E+0	9.24157E+0	9.14616E+0	9.42995E+0	9.43463E+0	9.53885E+0	9.51846E+0	9.66678E+0	9.43889E+0	9.11072E+0	8.25148E+0	7.66947E+0	7.28365E+0	7.16593E+0	6.90392E+0	6.83518E+0	7.00182E+0	7.31767E+0	7.58662E+0	7.64691E+0	7.70222E+0	7.47981E+0	7.19531E+0	6.74711E+0	6.03564E+0	5.02781E+0	2.74808E+0	1.81198E+0	1.69186E+0	1.61598E+0	1.48328E+0	1.57258E+0	1.56971E+0	1.52666E+0	1.64540E+0	1.65688E+0	1.63667E+0	1.70121E+0	1.69584E+0	1.56173E+0	1.66781E+0	1.69049E+0	1.84121E+0	1.82538E+0	1.68784E+0	1.93514E+0	1.80537E+0	2.06621E+0	2.02219E+0	2.21758E+0	1.97203E+0	1.83765E+0	1.54509E+0	1.64363E+0	1.49844E+0	1.51430E+0	1.29321E+0	1.63158E+0	1.19761E+0	1.26299E+0	1.15873E+0	9.88789E-1
9.44314E+0	8.64648E+0	8.49723E+0	8.20310E+0	8.08217E+0	8.70057E+0	9.05802E+0	9.10952E+0	9.34837E+0	9.56791E+0	9.50882E+0	9.38746E+0	9.40028E+0	9.27952E+0	9.24708E+0	9.44153E+0	9.47112E+0	9.06431E+0	9.06236E+0	9.06928E+0	9.04345E+0	9.11790E+0	9.07599E+0	8.91199E+0	8.99616E+0	8.81746E+0	8.86210E+0	9.04227E+0	8.73118E+0	8.54543E+0	8.96230E+0	8.80464E+0	9.03026E+0	8.92728E+0	9.00504E+0	8.93851E+0	9.16230E+0	9.14848E+0	9.21443E+0	9.26722E+0	9.31437E+0	9.28733E+0	9.35113E+0	9.43122E+0	9.50012E+0	9.61015E+0	9.60057E+0	9.16563E+0	8.22378E+0	7.76793E+0	7.35936E+0	7.13589E+0	6.91215E+0	6.79395E+0	7.00025E+0	7.26803E+0	7.59776E+0	7.76141E+0	7.71332E+0	7.47596E+0	7.06464E+0	6.53228E+0	5.88835E+0	4.85152E+0	2.71384E+0	1.89280E+0	1.65113E+0	1.56835E+0	1.58877E+0	1.62843E+0	1.51189E+0	1.62750E+0	1.67506E+0	1.58568E+0	1.57682E+0	1.75611E+0	1.84432E+0	1.69226E+0	1.71863E+0	1.69338E+0	1.77002E+0	1.83130E+0	1.59400E+0	1.61764E+0	1.50927E+0	1.61106E+0	1.79031E+0	1.77628E+0	1.49030E+0	1.52616E+0	1.67745E+0	1.48639E+0	1.59471E+0	1.77681E+0	1.24846E+0	1.06201E+0	1.04051E+0	1.67840E+0	1.25412E+0	1.37413E+0
9.60880E+0	9.13732E+0	8.64636E+0	8.25267E+0	7.94281E+0	8.81169E+0	9.07108E+0	9.59202E+0	1.00692E+1	9.60033E+0	9.91128E+0	9.37274E+0	9.61106E+0	9.69258E+0	9.28385E+0	9.54462E+0	9.39968E+0	9.02512E+0	9.24422E+0	9.05910E+0	9.08040E+0	9.14800E+0	9.46960E+0	9.27790E+0	9.24632E+0	9.18784E+0	9.12584E+0	9.09480E+0	8.97076E+0	8.96243E+0	8.96597E+0	8.91081E+0	9.03480E+0	9.03834E+0	9.21492E+0	9.19906E+0	9.20344E+0	9.28251E+0	9.37549E+0	9.34412E+0	9.36689E+0	9.24651E+0	9.48177E+0	9.49217E+0	9.65570E+0	9.60380E+0	9.73038E+0	9.21347E+0	8.38156E+0	7.78686E+0	7.44726E+0	7.19613E+0	6.98762E+0	6.96177E+0	7.01743E+0	7.23404E+0	7.51085E+0	7.69212E+0	7.68326E+0	7.47200E+0	7.13065E+0	6.30753E+0	5.72926E+0	4.70011E+0	2.51100E+0	1.82242E+0	1.73032E+0	1.68013E+0	1.73515E+0	1.65784E+0	1.59401E+0	1.67734E+0	1.66895E+0	1.89840E+0	1.78898E+0	1.72677E+0	1.82552E+0	1.97881E+0	1.77824E+0	1.90700E+0	2.03934E+0	1.69988E+0	1.89121E+0	1.76603E+0	2.01116E+0	1.91545E+0	1.56937E+0	2.04789E+0	1.83284E+0	1.68619E+0	1.62847E+0	1.67954E+0	1.59603E+0	1.64199E+0	1.67451E+0	1.44209E+0	1.35262E+0	1.41277E+0	1.33735E+0	1.34411E+0
9.48416E+0	9.02838E+0	8.75961E+0	8.17854E+0	8.56715E+0	8.96399E+0	8.77102E+0	9.20304E+0	9.59078E+0	9.63447E+0	9.58881E+0	9.72040E+0	9.50790E+0	9.78886E+0	9.22527E+0	9.38655E+0	9.14789E+0	9.13989E+0	9.15416E+0	9.23505E+0	9.19138E+0	9.14563E+0	9.14130E+0	9.20000E+0	9.33601E+0	9.20516E+0	8.99989E+0	9.08427E+0	9.07366E+0	8.94158E+0	9.07761E+0	9.12221E+0	9.10068E+0	9.10322E+0	9.24544E+0	9.09292E+0	9.15480E+0	9.19700E+0	9.28708E+0	9.33372E+0	9.38069E+0	9.30465E+0	9.31048E+0	9.47142E+0	9.49486E+0	9.59373E+0	9.60892E+0	9.22702E+0	8.44978E+0	7.80465E+0	7.41084E+0	7.19252E+0	6.98499E+0	6.82941E+0	7.06907E+0	7.32150E+0	7.55332E+0	7.66475E+0	7.68171E+0	7.35267E+0	7.12557E+0	6.72850E+0	5.83185E+0	4.46613E+0	2.44570E+0	1.67779E+0	1.67994E+0	1.74367E+0	1.75362E+0	1.78226E+0	1.70135E+0	1.70195E+0	1.92196E+0	1.65414E+0	1.87784E+0	1.88417E+0	1.83090E+0	1.85790E+0	1.71312E+0	1.72067E+0	1.64250E+0	1.53429E+0	1.89483E+0	1.82298E+0	1.54859E+0	1.57161E+0	1.63339E+0	1.88558E+0	1.84298E+0	1.64226E+0	1.84476E+0	1.86867E+0	1.67884E+0	1.78394E+0	1.47249E+0	1.27132E+0	1.18899E+0	1.12720E+0	1.72918E+0	1.19014E+0
9.38747E+0	8.93651E+0	9.21391E+0	8.64666E+0	8.41857E+0	9.29159E+0	9.06258E+0	9.31702E+0	9.51683E+0	9.64297E+0	9.63827E+0	9.76413E+0	9.49888E+0	9.63903E+0	9.46097E+0	9.05315E+0	9.37667E+0	9.39199E+0	9.47278E+0	9.62826E+0	9.25609E+0	9.34668E+0	9.02856E+0	8.92391E+0	8.95157E+0	9.06555E+0	8.89167E+0	9.31121E+0	9.03941E+0	8.86009E+0	9.13430E+0	9.20392E+0	8.95655E+0	9.09612E+0	9.16484E+0	9.24750E+0	9.20040E+0	9.20105E+0	9.31560E+0	9.44111E+0	9.28338E+0	9.28217E+0	9.35356E+0	9.38748E+0	9.65504E+0	9.65198E+0	9.77260E+0	9.05444E+0	8.23503E+0	7.70011E+0	7.30318E+0	6.86687E+0	6.71072E+0	6.66430E+0	6.77902E+0	7.17887E+0	7.41174E+0	7.49380E+0	7.39590E+0	7.21190E+0	6.77757E+0	6.21395E+0	5.62898E+0	4.48174E+0	2.56217E+0	1.78317E+0	1.63394E+0	1.78902E+0	1.62397E+0	1.70947E+0	1.82090E+0	1.75834E+0	1.56319E+0	1.55217E+0	1.98951E+0	1.88552E+0	1.99764E+0	1.83108E+0	2.00874E+0	1.76979E+0	1.80401E+0	2.10362E+0	2.20172E+0	2.12318E+0	2.11551E+0	1.79469E+0	1.82853E+0	1.94259E+0	1.64420E+0	1.74596E+0	1.98658E+0	1.86912E+0	1.29383E+0	1.53458E+0	1.60686E+0	1.85022E+0	1.63685E+0	1.36800E+0	1.34813E+0	1.62376E+0
8.88681E+0	8.65618E+0	8.51066E+0	8.25311E+0	8.54341E+0	9.06311E+0	9.37516E+0	9.45416E+0	9.81324E+0	9.43624E+0	9.90354E+0	9.77022E+0	9.54837E+0	9.07436E+0	9.38259E+0	9.30937E+0	9.33629E+0	9.36490E+0	9.22430E+0	9.22741E+0	9.30829E+0	9.16921E+0	9.06929E+0	9.00098E+0	9.27687E+0	9.29340E+0	8.91142E+0	9.11558E+0	8.89045E+0	9.11062E+0	9.19681E+0	8.94525E+0	9.27691E+0	9.04628E+0	9.18248E+0	9.29176E+0	9.39289E+0	9.27204E+0	9.20511E+0	9.30812E+0	9.41043E+0	9.45094E+0	9.55442E+0	9.51720E+0	9.66780E+0	9.71796E+0	9.71971E+0	9.08939E+0	8.28444E+0	7.66286E+0	7.23375E+0	7.08937E+0	6.78497E+0	6.76093E+0	7.00052E+0	7.06581E+0	7.29225E+0	7.31551E+0	7.27955E+0	7.02582E+0	6.74634E+0	6.31982E+0	5.48940E+0	4.13698E+0	2.25488E+0	1.66771E+0	1.49241E+0	1.70780E+0	1.69941E+0	1.83173E+0	1.86334E+0	1.82658E+0	1.83288E+0	1.99330E+0	1.65242E+0	1.83388E+0	1.81399E+0	1.79416E+0	1.98251E+0	1.53762E+0	1.92721E+0	1.97196E+0	1.82095E+0	1.86986E+0	1.47953E+0	1.79729E+0	1.54247E+0	1.60523E+0	1.30361E+0	1.63644E+0	1.67277E+0	1.85879E+0	1.73747E+0	2.08296E+0	1.94736E+0	1.46108E+0	1.74786E+0	1.69465E+0	1.59615E+0	1.47185E+0
8.93839E+0	8.98383E+0	8.43537E+0	8.13044E+0	8.80166E+0	9.10505E+0	9.10773E+0	9.29509E+0	9.82917E+0	9.58241E+0	9.36510E+0	9.73093E+0	9.41596E+0	9.48607E+0	9.44569E+0	9.60202E+0	9.32354E+0	9.49693E+0	9.35258E+0	9.04242E+0	9.13386E+0	9.05580E+0	9.34925E+0	9.28607E+0	9.07065E+0	8.99412E+0	8.94090E+0	9.00598E+0	8.90026E+0	8.85130E+0	8.81983E+0	8.92404E+0	9.00565E+0	9.11420E+0	9.09942E+0	8.99589E+0	9.19871E+0	9.14735E+0	9.20275E+0	9.21032E+0	9.27187E+0	9.39685E+0	9.49835E+0	9.60527E+0	9.62205E+0	9.64964E+0	9.58981E+0	8.89861E+0	8.11963E+0	7.68441E+0	7.32859E+0	6.92038E+0	6.76480E+0	6.73379E+0	6.85691E+0	6.81269E+0	6.82875E+0	6.95093E+0	6.82505E+0	6.62473E+0	6.34330E+0	5.99294E+0	5.29019E+0	3.82135E+0	1.83443E+0	1.56797E+0	1.41956E+0	1.31743E+0	1.42980E+0	1.49928E+0	1.64869E+0	1.70751E+0	1.54985E+0	1.65527E+0	1.71773E+0	1.58608E+0	1.82408E+0	1.59442E+0	1.61485E+0	1.49733E+0	1.85003E+0	1.50603E+0	1.79806E+0	1.90153E+0	1.59523E+0	1.57922E+0	1.61382E+0	1.65735E+0	1.68744E+0	1.86272E+0	1.85487E+0	1.82240E+0	1.83658E+0	1.88797E+0	1.81765E+0	1.57419E+0	1.46260E+0	1.59209E+0	1.34825E+0	2.06599E+0
8.42258E+0	8.49910E+0	8.25488E+0	8.20056E+0	8.64947E+0	9.06015E+0	9.19235E+0	9.30173E+0	9.65547E+0	9.61380E+0	9.71263E+0	9.60135E+0	9.77424E+0	9.44298E+0	9.15933E+0	9.22964E+0	9.40662E+0	9.13884E+0	9.26233E+0	9.56764E+0	9.38960E+0	9.13895E+0	9.12649E+0	9.00903E+0	9.05286E+0	8.98207E+0	8.88632E+0	8.95247E+0	9.10371E+0	9.13884E+0	9.11272E+0	8.99140E+0	9.10457E+0	9.00239E+0	9.05444E+0	9.04456E+0	9.36287E+0	9.17268E+0	9.14430E+0	9.08641E+0	9.33997E+0	9.32568E+0	9.25820E+0	9.50623E+0	9.51806E+0	9.51623E+0	9.59653E+0	8.82026E+0	8.08648E+0	7.54944E+0	7.23090E+0	6.91087E+0	6.72352E+0	6.66871E+0	6.56228E+0	6.54943E+0	6.55883E+0	6.52407E+0	6.52101E+0	6.43300E+0	6.24131E+0	5.87355E+0	5.17292E+0	3.52647E+0	2.03884E+0	1.52467E+0	1.55335E+0	1.48104E+0	1.59374E+0	1.67500E+0	1.56017E+0	1.62655E+0	1.46350E+0	1.62262E+0	1.77782E+0	1.76893E+0	1.83268E+0	2.00524E+0	1.86876E+0	1.90510E+0	2.05765E+0	1.62883E+0	1.91743E+0	1.86915E+0	1.77863E+0	1.91303E+0	1.89011E+0	1.78659E+0	1.80044E+0	1.83664E+0	1.70041E+0	1.77802E+0	1.55810E+0	1.69520E+0	1.73735E+0	1.35966E+0	1.25486E+0	1.52710E+0	1.61681E+0	1.69563E+0
